Episode,Total Reward,Steps,Hits,Misses,Hit Rate,Q-Table Size
1,121.2840909090906,352,6,0,0.017045454545454544,42
2,123.00154518950426,343,6,0,0.01749271137026239,49
3,100.73026431717963,454,6,0,0.013215859030837005,49
4,90.50801980197909,505,6,0,0.011881188118811881,51
5,123.1123976608181,342,6,0,0.017543859649122806,52
6,141.55160642570252,249,6,0,0.024096385542168676,52
7,111.76062656641528,399,6,0,0.015037593984962405,55
8,112.96445292620783,393,6,0,0.015267175572519083,56
9,130.16679738562033,306,6,0,0.0196078431372549,56
10,91.59999999999889,500,6,0,0.012,56
11,108.35038461538403,416,6,0,0.014423076923076924,58
12,95.51833333333228,480,6,0,0.0125,58
13,98.2345922746771,466,6,0,0.012875536480686695,58
14,83.18450184501728,542,6,0,0.01107011070110701,58
15,133.3848275862064,290,6,0,0.020689655172413793,58
16,114.56974025973945,385,6,0,0.015584415584415584,60
17,122.53069767441795,344,6,0,0.01744186046511628,60
18,156.32139534883714,172,6,0,0.03488372093023256,60
19,98.8155172413783,464,6,0,0.01293103448275862,60
20,127.24152647975029,321,6,0,0.018691588785046728,60
21,145.40668122270725,229,6,0,0.026200873362445413,60
22,119.29700831024859,361,6,0,0.01662049861495845,60
23,73.76977928692637,589,6,0,0.010186757215619695,60
24,129.14051282051295,312,6,0,0.019230769230769232,60
25,128.04545741324858,317,6,0,0.01892744479495268,65
26,124.095857988165,338,6,0,0.01775147928994083,65
27,83.38484288354837,541,6,0,0.011090573012939002,65
28,112.36252525252442,396,6,0,0.015151515151515152,65
29,131.9767003366998,297,6,0,0.020202020202020204,65
30,144.37553191489346,235,6,0,0.02553191489361702,65
31,104.53988505747034,435,6,0,0.013793103448275862,65
32,61.75408320492912,649,6,0,0.009244992295839754,65
33,110.95813895781549,403,6,0,0.01488833746898263,65
34,113.45575447570249,391,6,0,0.015345268542199489,65
35,113.05445292620782,393,6,0,0.015267175572519083,65
36,114.27906735751213,386,6,0,0.015544041450777202,65
37,129.54258064516074,310,6,0,0.01935483870967742,65
38,141.0368253968254,252,6,0,0.023809523809523808,65
39,151.02251256281386,199,6,0,0.03015075376884422,65
40,118.20322404371582,366,6,0,0.01639344262295082,65
41,93.00283975659158,493,6,0,0.012170385395537525,65
42,124.11673590504388,337,6,0,0.017804154302670624,65
43,155.1455555555554,180,6,0,0.03333333333333333,65
44,122.39901734103977,346,6,0,0.017341040462427744,65
45,132.26783783783728,296,6,0,0.02027027027027027,65
46,130.0557328990222,307,6,0,0.019543973941368076,65
47,149.56076923076913,208,6,0,0.028846153846153848,65
48,138.21593984962362,266,6,0,0.022556390977443608,65
49,93.604081632652,490,6,0,0.012244897959183673,65
50,133.29482758620676,290,6,0,0.020689655172413793,65
51,138.1945318352057,267,6,0,0.02247191011235955,65
52,134.1472222222218,288,6,0,0.020833333333333332,65
53,113.7670694087396,389,6,0,0.015424164524421594,65
54,141.5732258064514,248,6,0,0.024193548387096774,65
55,126.25769230769205,325,6,0,0.018461538461538463,65
56,157.02171597633156,169,6,0,0.03550295857988166,65
57,129.5425806451608,310,6,0,0.01935483870967742,65
58,143.92553191489338,235,6,0,0.02553191489361702,65
59,87.59230769230652,520,6,0,0.011538461538461539,65
60,144.3973504273505,234,6,0,0.02564102564102564,65
61,104.429357798165,436,6,0,0.013761467889908258,65
62,86.811204588909,523,6,0,0.011472275334608031,65
63,121.1940909090905,352,6,0,0.017045454545454544,65
64,127.24152647975018,321,6,0,0.018691588785046728,65
65,105.14148148148065,432,6,0,0.013888888888888888,65
66,97.21186440677872,472,6,0,0.012711864406779662,65
67,104.85094688221676,433,6,0,0.013856812933025405,65
68,131.04003300330066,303,6,0,0.019801980198019802,65
69,107.54809523809439,420,6,0,0.014285714285714285,65
70,94.80661157024689,484,6,0,0.012396694214876033,65
71,124.60850746268589,335,6,0,0.01791044776119403,65
72,151.3825125628142,199,6,0,0.03015075376884422,67
73,107.23696682464364,422,6,0,0.014218009478672985,67
74,131.28333333333302,300,6,0,0.02,67
75,98.43505376344022,465,6,0,0.012903225806451613,67
76,109.15271844660104,412,6,0,0.014563106796116505,67
77,103.8277904328009,439,6,0,0.01366742596810934,67
78,120.83409090909026,352,6,0,0.017045454545454544,67
79,103.73779043280086,439,6,0,0.01366742596810934,67
