Episode,Total Reward,Steps,Hits,Sunk Ships,Misses,Hit Rate,Q-Table Size,Consecutive Hits,Max Consecutive Hits Ship 1,Max Consecutive Hits Ship 2,Max Consecutive Hits Ship 3,Max Consecutive Hits Ship 4,Max Consecutive Hits Ship 5,Max Consecutive Hits Ship 6
1,72.46267175572366,655,24,6,75,0.0366412213740458,57,4,1,2,1,1,1,2
2,134.94089887640422,356,24,6,70,0.06741573033707865,57,5,1,1,1,1,2,3
3,157.9166666666675,240,24,6,66,0.1,57,5,1,1,2,1,2,4
4,35.31286681715527,886,24,6,76,0.02708803611738149,57,7,1,1,2,1,1,6
5,109.724931773878,513,24,6,73,0.04678362573099415,57,7,1,1,1,1,1,5
6,124.737039337476,483,24,6,73,0.049689440993788817,57,10,1,1,2,1,3,6
7,74.26128593040693,661,24,6,75,0.036308623298033284,57,5,1,1,1,1,1,4
8,150.5846753246766,308,24,6,70,0.07792207792207792,57,7,2,1,1,1,2,4
9,138.04371364653505,447,24,6,74,0.053691275167785234,57,12,1,2,1,1,4,9
10,89.91621973929114,537,24,6,73,0.0446927374301676,57,2,1,1,1,1,1,3
11,65.6462397820153,734,24,6,75,0.0326975476839237,57,7,1,1,2,1,2,5
12,126.83141649048626,473,24,6,74,0.0507399577167019,58,10,2,1,1,2,3,7
13,178.63222591362296,301,24,6,66,0.07973421926910298,60,16,2,1,3,3,3,10
14,113.1953124999992,512,24,6,76,0.046875,60,8,1,1,1,3,2,6
15,168.21322580645224,248,24,6,65,0.0967741935483871,60,9,1,1,1,1,1,10
16,129.2236659877795,491,24,6,74,0.048879837067209775,60,12,1,1,3,1,3,7
17,106.98416206261476,543,24,6,76,0.04419889502762431,60,8,1,1,1,1,1,9
18,143.41737967914594,374,24,6,71,0.06417112299465241,60,9,1,1,1,1,4,6
19,133.17330900243346,411,24,6,73,0.058394160583941604,60,8,1,1,3,2,1,4
20,40.91261261261074,888,24,6,76,0.02702702702702703,60,9,2,1,1,1,1,7
21,103.58348623853198,545,24,6,76,0.044036697247706424,60,7,1,1,1,1,1,7
22,-13.70917347865695,1101,24,6,76,0.021798365122615803,60,5,1,1,1,2,1,3
23,116.99937655860262,401,24,6,71,0.059850374064837904,60,2,1,1,1,1,1,3
24,169.26843205575082,287,24,6,64,0.08362369337979095,64,12,1,1,3,3,4,3
25,121.73703933747524,483,24,6,73,0.049689440993788817,64,9,1,1,1,1,2,9
26,158.50557046979955,298,24,6,69,0.08053691275167785,64,9,1,1,3,1,1,8
27,117.95624434389043,442,24,6,73,0.05429864253393665,64,5,2,1,1,2,1,3
28,151.70112582781564,302,24,6,69,0.07947019867549669,64,7,1,1,1,1,1,8
29,115.38584905660284,424,24,6,71,0.05660377358490566,64,3,1,1,1,1,1,3
30,141.5524795640324,367,24,6,68,0.0653950953678474,64,8,1,1,3,1,1,5
31,97.28825311942975,561,24,6,75,0.0427807486631016,64,6,1,1,1,1,1,7
32,62.13850415512295,722,24,6,76,0.0332409972299169,64,5,1,1,2,1,1,5
33,139.3176190476197,336,24,6,74,0.07142857142857142,64,5,1,1,1,1,1,3
34,101.37513134851044,571,24,6,76,0.04203152364273205,64,8,1,1,1,1,2,8
35,128.3245922746801,466,24,6,75,0.05150214592274678,64,10,1,1,1,3,2,6
36,133.62548209366318,363,24,6,71,0.06611570247933884,64,5,1,1,2,1,1,5
37,99.08182130584261,582,24,6,75,0.041237113402061855,64,8,1,2,2,1,2,6
38,80.55151515151366,660,24,6,76,0.03636363636363636,64,7,1,1,1,1,2,5
39,176.34335689046037,283,24,6,67,0.08480565371024736,64,14,1,2,3,2,3,8
40,148.99525198939244,377,24,6,73,0.0636604774535809,64,11,1,1,3,1,2,7
41,102.56393442623121,610,24,6,76,0.03934426229508197,66,11,1,1,3,2,1,9
42,143.51855153203272,359,24,6,72,0.06685236768802229,66,8,1,1,1,1,1,9
43,184.25619047619108,210,24,6,58,0.11428571428571428,66,12,1,1,1,3,3,6
44,184.93841004184083,239,24,6,64,0.100418410041841,66,14,1,1,3,1,4,10
45,134.08630541871906,406,24,6,72,0.059113300492610835,66,8,1,2,1,1,3,6
46,174.86152263374615,243,24,6,61,0.09876543209876543,66,11,1,1,1,2,2,10
47,132.98173913043638,368,24,6,75,0.06521739130434782,66,5,1,1,1,1,1,5
48,177.34769230769422,325,24,6,72,0.07384615384615385,66,17,2,1,3,3,4,10
49,150.44498525073874,339,24,6,71,0.07079646017699115,66,9,1,1,3,1,1,6
50,157.7754574132503,317,24,6,70,0.07570977917981073,66,10,1,1,3,1,2,8
51,108.72880715705656,503,24,6,73,0.04771371769383698,66,6,1,1,1,1,1,6
52,88.55748031495914,635,24,6,76,0.03779527559055118,66,8,1,1,1,1,1,6
53,155.83587188612051,281,24,6,68,0.08540925266903915,66,7,1,2,1,1,1,5
54,138.3709638554208,415,24,6,73,0.05783132530120482,66,10,2,1,2,1,2,5
55,118.86883295194421,437,24,6,72,0.05491990846681922,66,5,1,1,3,1,1,4
56,143.74866348448876,419,24,6,75,0.057279236276849645,66,12,2,1,2,1,3,9
57,187.60813471502644,193,24,6,57,0.12435233160621761,66,12,1,1,3,3,1,7
58,145.5452519893904,377,24,6,68,0.0636604774535809,66,10,1,1,1,2,1,10
59,146.64154518950485,343,24,6,71,0.06997084548104957,66,8,1,1,2,3,1,6
60,120.67364485981227,428,24,6,72,0.056074766355140186,67,5,1,2,1,1,1,5
61,120.24408163265262,490,24,6,72,0.04897959183673469,67,9,1,1,1,2,2,8
62,112.61455252918279,514,24,6,74,0.04669260700389105,67,8,2,1,3,1,2,5
63,83.75527950310472,644,24,6,76,0.037267080745341616,67,7,1,1,1,2,1,5
64,120.6514164904852,473,24,6,72,0.0507399577167019,67,8,1,1,2,1,1,7
65,166.74333333333482,300,24,6,65,0.08,67,12,1,2,1,3,4,5
66,144.03714285714236,280,24,6,68,0.08571428571428572,67,3,1,1,1,1,1,3
67,106.29315018315135,546,24,6,75,0.04395604395604396,67,8,1,1,2,1,3,6
68,122.09624309392194,362,24,6,74,0.06629834254143646,67,1,1,1,1,1,1,2
69,146.05445292621093,393,24,6,76,0.061068702290076333,67,11,1,1,1,1,3,10
70,89.76694490817891,599,24,6,76,0.04006677796327212,67,6,1,1,2,1,1,3
71,127.52978021978085,455,24,6,75,0.05274725274725275,67,9,1,1,2,1,1,8
72,149.38487804878176,328,24,6,68,0.07317073170731707,67,8,1,1,2,1,2,4
73,149.0521148036272,331,24,6,71,0.07250755287009064,67,8,1,1,1,1,3,7
74,113.2279002078991,481,24,6,74,0.0498960498960499,67,6,1,1,2,1,2,5
75,143.32737967914483,374,24,6,70,0.06417112299465241,67,9,1,1,1,1,1,10
76,168.035939849625,266,24,6,70,0.09022556390977443,67,10,1,1,1,1,2,10
77,142.79455026454946,378,24,6,73,0.06349206349206349,67,9,1,2,1,1,1,9
78,165.65983606557472,244,24,6,61,0.09836065573770492,67,8,1,1,1,1,1,7
79,150.36258064516275,310,24,6,72,0.07741935483870968,67,7,1,1,1,2,1,4
80,138.12089887640437,356,24,6,72,0.06741573033707865,67,6,2,1,1,2,1,4
81,154.34112582781478,302,24,6,65,0.07947019867549669,67,8,1,1,1,1,1,7
82,135.76490028490025,351,24,6,68,0.06837606837606838,67,5,1,1,1,1,3,2
83,148.33722222222192,288,24,6,67,0.08333333333333333,67,5,1,1,1,1,2,5
84,136.19246719160154,381,24,6,73,0.06299212598425197,67,7,2,1,1,2,1,4
85,98.88152658661956,583,24,6,75,0.0411663807890223,67,8,2,1,1,2,2,6
86,84.1675041876033,597,24,6,76,0.04020100502512563,67,4,1,1,1,1,1,4
87,183.71728971962708,214,24,6,61,0.11214953271028037,67,12,1,2,1,2,4,8
88,140.4498850574722,435,24,6,74,0.05517241379310345,67,12,1,1,3,1,4,8
89,154.5534796238255,319,24,6,72,0.07523510971786834,67,9,1,1,2,1,1,7
90,166.20482758620813,290,24,6,70,0.08275862068965517,67,11,1,1,2,3,4,5
91,123.06421524663575,446,24,6,72,0.053811659192825115,68,7,1,2,1,2,2,4
92,163.51062500000052,256,24,6,64,0.09375,68,8,1,1,1,1,2,8
93,104.52083969465632,524,24,6,73,0.04580152671755725,68,6,1,1,3,2,1,4
94,148.31761904761868,336,24,6,74,0.07142857142857142,68,8,1,1,2,1,2,6
95,97.99953321364345,557,24,6,74,0.04308797127468582,68,6,1,1,1,1,1,7
96,62.52578616352009,795,24,6,76,0.03018867924528302,68,10,1,1,1,3,2,8
97,188.58261083743915,203,24,6,57,0.11822660098522167,68,13,1,1,1,3,4,9
98,151.1034796238264,319,24,6,67,0.07523510971786834,68,8,1,1,2,1,1,5
99,149.41557046979838,298,24,6,68,0.08053691275167785,68,6,1,1,1,1,1,7
100,160.18786885245987,305,24,6,70,0.07868852459016394,68,10,1,1,1,2,2,9
101,132.37096385542208,415,24,6,73,0.05783132530120482,68,8,1,1,1,2,2,7
102,132.5004166666683,384,24,6,72,0.0625,68,6,1,1,1,1,1,5
103,136.42472527472606,364,24,6,71,0.06593406593406594,68,6,1,1,2,2,1,3
104,169.60722222222356,288,24,6,70,0.08333333333333333,68,12,2,1,2,2,2,5
105,163.59545741324925,317,24,6,68,0.07570977917981073,68,12,2,1,3,1,4,7
106,127.0541920374712,427,24,6,74,0.05620608899297424,68,7,1,1,3,2,1,5
107,130.98510204081552,392,24,6,73,0.061224489795918366,68,6,1,1,1,3,1,3
108,127.73026431718154,454,24,6,75,0.05286343612334802,68,9,1,1,1,1,3,8
109,132.79841269841464,504,24,6,76,0.047619047619047616,68,14,1,2,3,1,4,9
110,165.07971223021545,278,24,6,64,0.08633093525179857,68,10,1,1,2,1,4,7
111,67.94124293785143,708,24,6,76,0.03389830508474576,68,6,2,1,2,1,1,3
112,158.8632551319662,341,24,6,69,0.07038123167155426,68,12,1,1,1,3,2,10
113,172.02482758620835,290,24,6,68,0.08275862068965517,68,13,1,1,2,3,3,9
114,129.82247956403242,367,24,6,71,0.0653950953678474,68,4,1,1,1,1,2,3
115,106.37825311943081,561,24,6,76,0.0427807486631016,68,9,1,1,1,1,1,10
116,136.87696682464508,422,24,6,72,0.05687203791469194,68,10,1,1,1,1,2,10
117,127.96445292620908,393,24,6,75,0.061068702290076333,68,5,1,1,1,2,1,3
118,132.6615458937211,414,24,6,74,0.057971014492753624,68,8,1,1,3,1,2,5
119,120.64522522522601,444,24,6,74,0.05405405405405406,68,6,1,1,2,1,2,4
120,164.5658718861221,281,24,6,65,0.08540925266903915,68,10,1,1,1,1,3,9
121,140.0657002457016,407,24,6,74,0.05896805896805897,68,10,1,1,3,2,1,5
122,125.856450216451,462,24,6,72,0.05194805194805195,68,9,2,1,1,3,1,5
123,125.28691358024764,405,24,6,72,0.05925925925925926,68,5,1,1,1,1,1,5
124,118.26727272727177,440,24,6,72,0.05454545454545454,68,5,1,1,1,1,1,6
125,137.257529691212,421,24,6,74,0.057007125890736345,68,10,1,1,3,1,1,9
126,141.5297122302157,278,24,6,69,0.08633093525179857,68,2,1,1,1,1,1,3
127,136.37390243902402,410,24,6,73,0.05853658536585366,68,9,1,1,1,2,3,7
128,89.35847860538867,631,24,6,76,0.03803486529318542,68,8,1,1,1,1,2,4
129,118.04213075060595,413,24,6,76,0.05811138014527845,68,3,1,1,1,1,1,3
130,164.63881720430348,372,24,6,69,0.06451612903225806,68,16,1,2,3,3,3,10
131,150.53246575342473,292,24,6,67,0.0821917808219178,68,6,1,1,1,2,1,4
132,159.98679738562265,306,24,6,70,0.0784313725490196,68,10,1,1,1,2,1,10
133,149.57948881789272,313,24,6,70,0.07667731629392971,68,7,1,1,1,1,3,5
134,129.5806265664164,399,24,6,73,0.06015037593984962,68,6,1,1,1,1,1,6
135,129.76364485981216,428,24,6,73,0.056074766355140186,68,8,1,1,3,1,2,4
136,68.15105740181116,662,24,6,76,0.03625377643504532,68,3,1,1,1,1,1,4
137,130.30315789473633,380,24,6,72,0.06315789473684211,68,5,1,1,1,1,1,6
138,154.3257142857164,350,24,6,72,0.06857142857142857,68,11,2,1,2,1,2,7
